s:	0	15.41	148.55	0	
s:	1	18.91	144.05	0	
s:	2	26.41	137.55	0	
s:	3	13.91	151.05	0	
s:	4	17.41	146.55	1	
s:	5	11.91	146.05	0	
s:	6	20.41	145.05	1	
s:	7	11.41	146.55	0	
s:	8	18.91	141.05	0	
s:	9	11.91	146.55	1	
s:	10	23.41	138.55	0	
s:	11	19.41	145.05	0	
n:	12	14.91	141.05	1	65	
n:	13	19.41	148.05	0	43	
n:	14	3.91	152.05	0	65	
n:	15	15.41	140.05	0	46	
n:	16	19.41	147.05	0	83	
n:	17	17.91	146.05	0	76	
n:	18	17.41	141.05	1	28	
n:	19	20.41	143.05	1	36	
n:	20	11.41	147.55	0	49	
n:	21	29.41	139.05	1	40	
n:	22	25.41	138.05	0	42	
n:	23	13.91	148.05	1	63	
n:	24	31.41	139.55	0	41	
n:	25	20.91	141.55	0	95	
n:	26	9.91	143.55	1	86	
n:	27	24.41	138.05	0	38	
n:	28	17.91	145.05	1	83	
n:	29	30.91	139.05	1	46	
n:	30	27.41	135.05	0	62	
n:	31	8.91	145.55	0	35	
n:	32	12.91	144.55	1	78	
n:	33	23.41	139.05	0	96	
n:	34	14.41	146.55	0	65	
n:	35	17.41	139.55	1	92	
n:	36	4.41	150.05	0	53	
n:	37	24.91	137.55	0	36	
n:	38	7.91	150.55	1	84	
n:	39	5.91	148.05	0	26	
n:	40	3.91	152.55	1	83	
n:	41	20.41	141.05	0	26	
n:	42	10.91	147.05	0	75	
n:	43	3.91	151.55	1	62	
n:	44	16.41	143.05	0	30	
n:	45	13.91	144.55	1	98	
n:	46	10.41	149.55	0	90	
n:	47	22.41	140.05	0	25	
n:	48	20.41	138.05	0	80	
n:	49	18.41	140.55	1	72	
n:	50	14.91	149.05	0	35	
n:	51	21.91	141.55	0	54	
n:	52	27.91	135.55	0	36	
n:	53	11.41	149.55	1	96	
n:	54	15.91	147.55	1	76	
n:	55	18.91	140.05	0	33	
n:	56	18.91	143.55	0	93	
n:	57	19.41	142.55	1	74	
n:	58	17.91	142.05	1	28	
n:	59	18.91	144.55	0	99	
n:	60	20.91	144.05	1	76	
n:	61	7.91	149.55	0	78	
n:	62	29.41	138.05	1	57	
n:	63	14.41	148.55	1	32	
n:	64	14.91	143.05	1	34	
n:	65	15.91	139.55	1	31	
n:	66	12.41	148.05	0	61	
n:	67	29.91	140.55	1	58	
n:	68	15.91	146.55	0	33	
n:	69	4.91	150.05	0	83	
n:	70	18.41	142.55	1	46	
n:	71	18.91	137.55	0	99	
n:	72	9.41	151.05	1	84	
n:	73	10.91	148.05	1	26	
n:	74	9.91	151.05	1	94	
n:	75	6.41	151.55	1	99	
n:	76	19.41	144.55	1	58	
n:	77	18.41	138.05	1	43	
n:	78	19.41	140.05	0	22	
n:	79	4.41	151.05	0	30	
n:	80	17.41	145.05	0	81	
n:	81	10.91	151.05	1	63	
n:	82	27.91	136.55	1	55	
n:	83	15.91	145.55	0	81	
n:	84	16.91	142.05	0	62	
n:	85	11.91	145.05	1	22	
n:	86	6.41	147.55	0	63	
n:	87	16.91	147.05	1	61	
n:	88	11.41	148.55	0	71	
n:	89	5.41	147.55	1	82	
n:	90	20.91	140.55	1	77	
n:	91	18.91	147.55	1	92	
n:	92	17.41	145.55	0	20	
n:	93	17.91	144.55	1	73	
n:	94	13.91	150.55	0	39	
n:	95	30.91	138.05	0	24	
n:	96	17.41	143.05	0	91	
n:	97	13.41	151.05	0	20	
n:	98	21.41	142.55	0	51	
n:	99	11.91	148.05	0	65	
n:	100	21.91	140.55	0	40	
n:	101	22.91	136.05	0	63	
n:	102	22.91	137.55	0	73	
n:	103	13.91	148.55	0	55	
n:	104	28.41	138.05	1	64	
n:	105	14.41	148.05	0	23	
n:	106	13.91	147.05	0	31	
n:	107	4.41	152.55	0	68	
n:	108	32.41	140.55	1	98	
n:	109	15.91	144.55	1	61	
n:	110	19.91	143.55	0	67	
n:	111	19.91	137.55	0	82	
n:	112	15.41	149.55	1	57	
n:	113	25.91	137.55	0	70	
n:	114	17.91	145.55	1	48	
n:	115	12.91	146.05	1	67	
n:	116	25.41	137.05	1	46	
n:	117	10.91	150.05	1	22	
n:	118	16.91	148.05	0	49	
n:	119	8.41	145.55	1	72	
a:	0	50	0	7.38	Aerea	
a:	0	112	0	8.06	Subterranea	
a:	0	63	0	6.71	Aerea	
a:	0	105	0	6.5	Aerea	
a:	0	54	0	7.76	Subterranea	
a:	0	103	0	6.26	Subterranea	
a:	0	23	0	6.04	Subterranea	
