s:	0	21.41	145.05	1	
s:	1	32.41	140.55	0	
n:	2	4.91	151.55	0	57	
n:	3	4.91	150.05	0	61	
n:	4	30.91	139.55	1	100	
n:	5	9.41	148.55	1	51	
n:	6	12.91	146.05	1	79	
n:	7	21.91	138.55	0	81	
n:	8	20.91	142.55	1	44	
n:	9	30.41	138.55	0	69	
n:	10	18.91	144.55	0	63	
n:	11	21.41	141.05	1	70	
n:	12	30.41	140.05	1	20	
n:	13	18.41	140.05	0	47	
n:	14	14.91	146.55	0	93	
n:	15	19.91	143.55	1	81	
n:	16	12.91	149.55	1	68	
n:	17	18.41	138.55	0	85	
n:	18	4.91	152.55	0	77	
n:	19	28.91	138.55	0	39	
a:	0	15	1	10.3	Aerea	
a:	0	8	1	8.94	Aerea	
a:	0	10	0	11.66	Aerea	
a:	0	11	1	7.91	Aerea	
a:	0	13	0	9.92	Aerea	
a:	0	14	0	9.92	Aerea	
a:	0	16	1	9.92	Aerea	
a:	0	17	0	9.92	Subterranea	
a:	0	19	0	9.92	Subterranea	
a:	1	4	0	2.24	Aerea	
a:	1	12	0	2.12	Subterranea	
a:	1	9	0	1.5	Aerea	
a:	1	19	0	0	Aerea	
a:	2	18	0	27.78	Aerea	
a:	2	3	0	26.61	Subterranea	
a:	2	5	0	21.91	Subterranea	
a:	2	16	0	19.42	Aerea	
a:	3	2	0	26.61	Subterranea	
a:	3	18	0	27.78	Aerea	
a:	3	5	0	21.91	Subterranea	
a:	3	16	0	19.42	Aerea	
a:	3	6	0	17.67	Subterranea	
a:	4	12	1	2.12	Subterranea	
a:	4	9	0	1.5	Subterranea	
a:	4	19	0	0	Subterranea	
a:	4	7	0	7	Aerea	
a:	5	2	0	21.91	Subterranea	
a:	5	3	0	21.91	Subterranea	
a:	5	16	1	19.42	Aerea	
a:	5	6	1	17.67	Aerea	
a:	5	14	0	16.12	Subterranea	
a:	5	18	0	27.78	Subterranea	
a:	6	3	0	17.67	Subterranea	
a:	6	5	1	17.67	Aerea	
a:	6	14	0	16.12	Subterranea	
